交易日期,到期日期,履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價,到期天數,無風險利率,隱含波動率(結算價),隱含波動率(收盤價)
2014/02/11,2014/09/17,9000.0,call,92,56.0,56.0,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.12679471610717152,0.12689662154976203
2014/02/11,2014/09/17,9200.0,call,171,34.0,34.0,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.1252892938363214,0.12537982378762919
2014/02/11,2014/09/17,9400.0,call,228,18.5,18.5,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.12215688161698608,0.1222373010206081
2014/02/11,2014/09/17,9600.0,call,371,11.0,11.0,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.12252628234140849,0.12259977839734552
2014/02/12,2014/09/17,6600.0,put,291,21.0,21.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.16834958413806772,0.16834958413806772
2014/02/12,2014/09/17,6800.0,put,254,33.5,33.5,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.16537085509403288,0.16537085509403288
2014/02/12,2014/09/17,7000.0,put,210,47.5,47.5,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.15847750840701175,0.15847750840701175
2014/02/12,2014/09/17,7200.0,put,331,71.0,71.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.15466737723470658,0.15466737723470658
2014/02/12,2014/09/17,7400.0,put,203,99.0,99.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.14817354757919832,0.14817354757919832
2014/02/12,2014/09/17,7600.0,put,151,140.0,140.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.14339956700170156,0.14339956700170156
2014/02/12,2014/09/17,7800.0,put,42,195.0,195.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.1390180673767248,0.1390180673767248
2014/02/12,2014/09/17,8000.0,put,36,269.0,269.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.13598400476587474,0.13598400476587474
2014/02/12,2014/09/17,8200.0,call,46,306.0,303.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.13242636020481424,0.13363210979021478
2014/02/12,2014/09/17,8600.0,call,62,150.0,150.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.12840073875067456,0.12840073875067456
2014/02/12,2014/09/17,8800.0,call,171,97.0,97.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.12526731670148747,0.12526731670148747
2014/02/12,2014/09/17,9000.0,call,195,61.0,61.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.12340284925651757,0.12340284925651757
2014/02/12,2014/09/17,9200.0,call,300,36.0,36.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.12111534895697082,0.12111534895697082
2014/02/12,2014/09/17,9400.0,call,388,20.0,20.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.11883643627755393,0.11883643627755393
2014/02/12,2014/09/17,9600.0,call,323,11.0,11.0,93,8113,8154,8105,8143,8143,217,0.0110499999999999,0.11773342438392782,0.11773342438392782
2014/02/13,2014/09/17,6600.0,put,153,20.5,20.5,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.16500441902408491,0.16500441902408491
2014/02/13,2014/09/17,6800.0,put,81,35.0,35.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.1643361538752599,0.1643361538752599
2014/02/13,2014/09/17,7000.0,put,60,52.0,52.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.15947878708888633,0.15947878708888633
2014/02/13,2014/09/17,7200.0,put,75,76.0,76.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.1547729744364042,0.1547729744364042
2014/02/13,2014/09/17,7400.0,put,45,106.0,106.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.14839070494817097,0.14839070494817097
2014/02/13,2014/09/17,8200.0,put,169,375.0,375.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.131062594661653,0.131062594661653
2014/02/13,2014/09/17,8400.0,call,38,208.0,208.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.13293307444043517,0.13293307444043517
2014/02/13,2014/09/17,8800.0,call,89,91.0,91.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.1267958586829692,0.1267958586829692
2014/02/13,2014/09/17,9000.0,call,59,55.0,55.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.12349823099801409,0.12349823099801409
2014/02/13,2014/09/17,9200.0,call,90,32.5,32.5,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.1216344263432979,0.1216344263432979
2014/02/13,2014/09/17,9400.0,call,259,17.0,17.0,33,8138,8138,8103,8105,8105,216,0.0110499999999999,0.11813107624016983,0.11813107624016983
